dataset,subject_id,subject_key,missing_for,image_path,output_path,dataset_code,session_id
AABC,HCA8040759,HCA8040759,fastsurfer,,,,
AABC,HCA8065270,HCA8065270,fastsurfer,,,,
AABC,HCA8072772,HCA8072772,fastsurfer,,,,
AABC,HCA8074372,HCA8074372,fastsurfer,,,,
AABC,HCA8132057,HCA8132057,fastsurfer,,,,
AABC,HCA8133362,HCA8133362,fastsurfer,,,,
AABC,HCA8169484,HCA8169484,fastsurfer,,,,
AABC,HCA8199392,HCA8199392,fastsurfer,,,,
AABC,HCA8213259,HCA8213259,fastsurfer,,,,
AABC,HCA8238275,HCA8238275,fastsurfer,,,,
AABC,HCA8242973,HCA8242973,fastsurfer,,,,
AABC,HCA8253978,HCA8253978,fastsurfer,,,,
AABC,HCA8296592,HCA8296592,fastsurfer,,,,
AABC,HCA8363278,HCA8363278,fastsurfer,,,,
AABC,HCA8367892,HCA8367892,fastsurfer,,,,
AABC,HCA8368490,HCA8368490,fastsurfer,,,,
AABC,HCA8369896,HCA8369896,fastsurfer,,,,
AABC,HCA8379495,HCA8379495,fastsurfer,,,,
AABC,HCA8387090,HCA8387090,fastsurfer,,,,
AABC,HCA8441777,HCA8441777,fastsurfer,,,,
AABC,HCA8451275,HCA8451275,fastsurfer,,,,
AABC,HCA8489199,HCA8489199,fastsurfer,,,,
AABC,HCA8502165,HCA8502165,fastsurfer,,,,
AABC,HCA8514374,HCA8514374,fastsurfer,,,,
AABC,HCA8549999,HCA8549999,fastsurfer,,,,
AABC,HCA8550479,HCA8550479,fastsurfer,,,,
AABC,HCA8579099,HCA8579099,fastsurfer,,,,
AABC,HCA8597405,HCA8597405,fastsurfer,,,,
AABC,HCA8638594,HCA8638594,fastsurfer,,,,
AABC,HCA8705381,HCA8705381,fastsurfer,,,,
AABC,HCA8726995,HCA8726995,fastsurfer,,,,
AABC,HCA8735289,HCA8735289,fastsurfer,,,,
AABC,HCA8740989,HCA8740989,fastsurfer,,,,
AABC,HCA8748197,HCA8748197,fastsurfer,,,,
AABC,HCA8751085,HCA8751085,fastsurfer,,,,
AABC,HCA8765197,HCA8765197,fastsurfer,,,,
AABC,HCA8770493,HCA8770493,fastsurfer,,,,
AABC,HCA8794912,HCA8794912,fastsurfer,,,,
AABC,HCA8803381,HCA8803381,fastsurfer,,,,
AABC,HCA8826090,HCA8826090,fastsurfer,,,,
AABC,HCA8846703,HCA8846703,fastsurfer,,,,
AABC,HCA8848606,HCA8848606,fastsurfer,,,,
AABC,HCA8860898,HCA8860898,fastsurfer,,,,
AABC,HCA8874304,HCA8874304,fastsurfer,,,,
AABC,HCA8883911,HCA8883911,fastsurfer,,,,
AABC,HCA8898722,HCA8898722,fastsurfer,,,,
AABC,HCA8904185,HCA8904185,fastsurfer,,,,
AABC,HCA8908092,HCA8908092,fastsurfer,,,,
AABC,HCA8913489,HCA8913489,fastsurfer,,,,
AABC,HCA8923391,HCA8923391,fastsurfer,,,,
AABC,HCA8931693,HCA8931693,fastsurfer,,,,
AABC,HCA8961399,HCA8961399,fastsurfer,,,,
